"","date","title","artist","genre1","peak_pos","last_pos","weeks","rank","change","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","spotify_link","spotify_id","analysis_url"
"6867",2011-05-07,"Pretty Girl Rock","keri hilson","hip hop/rap",24,32,22,42,"-10",0.882,0.085,160.023,0.251,0.203,0,4,0.665,11,243920,-4.968,0.885,0,"https://embed.spotify.com/?uri=spotify:track:2Adn2LNgkHMH5TelQVAu4n","2Adn2LNgkHMH5TelQVAu4n","https://api.spotify.com/v1/audio-analysis/2Adn2LNgkHMH5TelQVAu4n"
"6868",2008-10-18,"Energy","keri hilson","hip hop/rap",78,91,9,92,"-1",0.782,0.105,75.451,0.226,0.0917,0,4,0.416,11,209840,-5.67,0.602,1,"https://embed.spotify.com/?uri=spotify:track:0VI3YNoksmAn0LMnTVhBkq","0VI3YNoksmAn0LMnTVhBkq","https://api.spotify.com/v1/audio-analysis/0VI3YNoksmAn0LMnTVhBkq"
"6869",2017-07-22,"Tunnel Vision","kodak black","hip hop/rap",6,51,20,55,"-4",0.489,0.122,171.853,0.294,0.0576,0.0000991,4,0.497,11,268187,-7.724,0.231,0,"spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4","4Q3N4Ct4zCuIHuZ65E3BD4","https://api.spotify.com/v1/audio-analysis/4Q3N4Ct4zCuIHuZ65E3BD4"
"6870",2007-03-03,"Zoom","lil' boosie","hip hop/rap",61,79,12,98,"-19",0.616,0.339,160.919,0.15,0.00265,0.0000827,4,0.779,11,285040,-8.852,0.171,0,"spotify:track:1Uq394qwP4Nz9ZonRr3RrA","1Uq394qwP4Nz9ZonRr3RrA","https://api.spotify.com/v1/audio-analysis/1Uq394qwP4Nz9ZonRr3RrA"
"6871",2000-04-01,"Re-arranged","limp bizkit","alternative/rock",88,93,18,100,"-7",0.777,0.0599,104.385,0.0696,0.109,0.0493,4,0.539,11,354733,-7.145,0.44,1,"spotify:track:6IPJ7LeWIOhxPW8Sq3nIGc","6IPJ7LeWIOhxPW8Sq3nIGc","https://api.spotify.com/v1/audio-analysis/6IPJ7LeWIOhxPW8Sq3nIGc"
"6872",2008-04-19,"Shadow Of The Day","linkin park","hip hop/rap",15,34,22,43,"-9",0.393,0.107,110.007,0.0292,0.00479,0.0107,4,0.534,11,290360,-7.813,0.0641,1,"spotify:track:0OYcEfskah1egYHjYRvbg1","0OYcEfskah1egYHjYRvbg1","https://api.spotify.com/v1/audio-analysis/0OYcEfskah1egYHjYRvbg1"
"6873",2011-03-26,"Beautiful Lasers (2 Ways)","lupe fiasco","hip hop/rap",70,0,1,70,"New",0.752,0.324,129.988,0.0404,0.0148,0,4,0.542,11,241853,-3.652,0.249,0,"https://embed.spotify.com/?uri=spotify:track:5Cs55JEAsk7oSLnniBwI2x","5Cs55JEAsk7oSLnniBwI2x","https://api.spotify.com/v1/audio-analysis/5Cs55JEAsk7oSLnniBwI2x"
"6874",2008-05-10,"Superstar","lupe fiasco","hip hop/rap",10,22,20,36,"-14",0.822,0.359,94.812,0.361,0.207,0,4,0.572,11,289000,-6.015,0.472,0,"https://embed.spotify.com/?uri=spotify:track:7dltD9eEX7X1zk8JJ9BS0e","7dltD9eEX7X1zk8JJ9BS0e","https://api.spotify.com/v1/audio-analysis/7dltD9eEX7X1zk8JJ9BS0e"
"6875",2011-10-01,"Out Of My Head","lupe fiasco","hip hop/rap",40,79,17,81,"-2",0.847,0.436,99.058,0.0675,0.0145,0,4,0.588,11,204013,-4.734,0.38,0,"https://embed.spotify.com/?uri=spotify:track:4Nomj38R7Ds0P8I8orW2Tv","4Nomj38R7Ds0P8I8orW2Tv","https://api.spotify.com/v1/audio-analysis/4Nomj38R7Ds0P8I8orW2Tv"
"6876",2015-11-14,"Powerful","major lazer","pop",83,83,6,96,"-13",0.792,0.158,97.479,0.0478,0.121,0,3,0.598,11,206327,-4.043,0.732,0,"https://embed.spotify.com/?uri=spotify:track:438R0i7J3G7jVXUO9lFk8e","438R0i7J3G7jVXUO9lFk8e","https://api.spotify.com/v1/audio-analysis/438R0i7J3G7jVXUO9lFk8e"
"6877",2015-09-12,"Kiss You In The Morning","michael ray","country",55,76,14,85,"-9",0.909,0.317,152.13,0.0423,0.00769,0,4,0.557,11,181400,-3.405,0.857,1,"https://embed.spotify.com/?uri=spotify:track:6TwhBJgvrPrdNe57lYVV55","6TwhBJgvrPrdNe57lYVV55","https://api.spotify.com/v1/audio-analysis/6TwhBJgvrPrdNe57lYVV55"
"6878",2012-07-07,"Ai Se Eu Te Pego","michel telo","pop",81,98,12,96,"2",0.936,0.793,96.038,0.065,0.363,0,4,0.67,11,165864,-4.384,0.882,1,"https://embed.spotify.com/?uri=spotify:track:0oNoy8jgsBQEw0xRTqKxj9","0oNoy8jgsBQEw0xRTqKxj9","https://api.spotify.com/v1/audio-analysis/0oNoy8jgsBQEw0xRTqKxj9"
"6879",2009-05-09,"Butterfly Fly Away","miley cyrus","pop",56,56,3,86,"-30",0.286,0.279,134.957,0.026,0.723,0.000216,4,0.599,11,189240,-12.518,0.37,1,"spotify:track:2ZTCl6wQMDSMfY4s8GHZdj","2ZTCl6wQMDSMfY4s8GHZdj","https://api.spotify.com/v1/audio-analysis/2ZTCl6wQMDSMfY4s8GHZdj"
"6880",2011-06-04,"Moment 4 Life","nicki minaj","pop",13,42,23,47,"-5",0.884,0.199,97.919,0.251,0.371,0,4,0.684,11,279307,-3.875,0.373,1,"https://embed.spotify.com/?uri=spotify:track:0ConttVd0Ebk3dLNquOmh0","0ConttVd0Ebk3dLNquOmh0","https://api.spotify.com/v1/audio-analysis/0ConttVd0Ebk3dLNquOmh0"
"6881",2010-10-30,"Your Love","nicki minaj","pop",14,71,20,81,"-10",0.521,0.425,104.667,0.267,0.00234,0.00362,4,0.466,11,245253,-10.233,0.222,1,"https://embed.spotify.com/?uri=spotify:track:3bGxiCPouq52ZtI8ybMCX5","3bGxiCPouq52ZtI8ybMCX5","https://api.spotify.com/v1/audio-analysis/3bGxiCPouq52ZtI8ybMCX5"
"6882",2012-09-29,"Starships","nicki minaj","pop",5,34,31,48,"-14",0.717,0.247,125.041,0.0761,0.117,0,4,0.757,11,210813,-2.36,0.696,0,"https://embed.spotify.com/?uri=spotify:track:1LbhI0PgXF5kyJEE88xoUU","1LbhI0PgXF5kyJEE88xoUU","https://api.spotify.com/v1/audio-analysis/1LbhI0PgXF5kyJEE88xoUU"
"6883",2017-04-01,"Changed It","nicki minaj","pop",71,0,1,71,"New",0.628,0.114,143.946,0.431,0.616,0,4,0.802,11,295653,-8.352,0.644,0,"spotify:track:63NTlJWNS65JjsE3QJYr20","63NTlJWNS65JjsE3QJYr20","https://api.spotify.com/v1/audio-analysis/63NTlJWNS65JjsE3QJYr20"
"6884",2015-01-17,"Bed Of Lies","nicki minaj","pop",80,80,6,91,"-11",0.662,0.112,171.949,0.297,0.256,0,4,0.503,11,269947,-5.733,0.133,1,"https://embed.spotify.com/?uri=spotify:track:4GaKKWwNuCGg4N1qQUCebv","4GaKKWwNuCGg4N1qQUCebv","https://api.spotify.com/v1/audio-analysis/4GaKKWwNuCGg4N1qQUCebv"
"6885",2012-02-04,"Super Bass","nicki minaj","pop",3,43,39,49,"-6",0.866,0.585,127.01,0.185,0.282,0.00000387,4,0.727,11,200013,-4.288,0.653,1,"https://embed.spotify.com/?uri=spotify:track:0iYebKFUSfF72fUu2OW6ZT","0iYebKFUSfF72fUu2OW6ZT","https://api.spotify.com/v1/audio-analysis/0iYebKFUSfF72fUu2OW6ZT"
"6886",2013-02-16,"Take A Walk","passion pit","pop",84,84,22,86,"-2",0.755,0.315,101.006,0.0368,0.0338,0,4,0.566,11,264493,-5.526,0.445,1,"https://embed.spotify.com/?uri=spotify:track:4Sfa7hdVkqlM8UW5LsSY3F","4Sfa7hdVkqlM8UW5LsSY3F","https://api.spotify.com/v1/audio-analysis/4Sfa7hdVkqlM8UW5LsSY3F"
"6887",2009-05-30,"I'm Just Here For The Music","paula abdul","pop",87,87,2,97,"-10",0.911,0.157,114,0.0458,0.0211,0.0000118,4,0.751,11,193842,-1.373,0.895,0,"https://embed.spotify.com/?uri=spotify:track:0B8yh3jfMdQM4Xtfidm2RC","0B8yh3jfMdQM4Xtfidm2RC","https://api.spotify.com/v1/audio-analysis/0B8yh3jfMdQM4Xtfidm2RC"
"6888",2010-05-01,"All The Way Turnt Up","roscoe dash","hip hop/rap",46,81,12,91,"-10",0.969,0.303,131.996,0.0991,0.000986,0,4,0.513,11,295320,-1.946,0.715,0,"https://embed.spotify.com/?uri=spotify:track:1fHNx9MymVjrxGUbq8eh46","1fHNx9MymVjrxGUbq8eh46","https://api.spotify.com/v1/audio-analysis/1fHNx9MymVjrxGUbq8eh46"
"6889",2014-03-15,"Collard Greens","schoolboy q","hip hop/rap",92,0,8,94,"Re-Entry",0.569,0.143,153.989,0.0622,0.0279,0.00000658,4,0.828,11,301453,-4.85,0.672,1,"https://embed.spotify.com/?uri=spotify:track:0SyXvJ6uRArVWHXUyi3FKO","0SyXvJ6uRArVWHXUyi3FKO","https://api.spotify.com/v1/audio-analysis/0SyXvJ6uRArVWHXUyi3FKO"
"6890",2010-02-27,"Set The Fire To The Third Bar","snow patrol","pop",54,64,5,100,"-36",0.389,0.0946,96.053,0.0256,0.498,0,4,0.539,11,203613,-7.094,0.388,0,"https://embed.spotify.com/?uri=spotify:track:4kg5hAOumbLtNSg6J8aq8e","4kg5hAOumbLtNSg6J8aq8e","https://api.spotify.com/v1/audio-analysis/4kg5hAOumbLtNSg6J8aq8e"
"6891",2001-12-01,"I'm A Thug","trick daddy","hip hop/rap",17,85,20,88,"-3",0.562,0.102,139.981,0.122,0.0275,0,4,0.933,11,254400,-5.963,0.587,1,"spotify:track:6j2aNuhJJUnRj6UHcvn5PI","6j2aNuhJJUnRj6UHcvn5PI","https://api.spotify.com/v1/audio-analysis/6j2aNuhJJUnRj6UHcvn5PI"
"6892",2000-07-29,"Shut Up","trick daddy","hip hop/rap",83,92,11,97,"-5",0.777,0.246,144.772,0.401,0.0116,0,4,0.791,11,262040,-6.231,0.668,0,"spotify:track:2cgEIwFGTHncLLggkFNz9m","2cgEIwFGTHncLLggkFNz9m","https://api.spotify.com/v1/audio-analysis/2cgEIwFGTHncLLggkFNz9m"
"6893",2005-02-12,"Let's Go","trick daddy","hip hop/rap",7,30,22,41,"-11",0.767,0.334,133.929,0.172,0.0267,0,4,0.748,11,222200,-7.806,0.519,0,"https://embed.spotify.com/?uri=spotify:track:1fLibtVj3MrNTwRZq5yUOs","1fLibtVj3MrNTwRZq5yUOs","https://api.spotify.com/v1/audio-analysis/1fLibtVj3MrNTwRZq5yUOs"
"6894",2004-10-09,"Let's Go","trick daddy","hip hop/rap",29,37,4,29,"8",0.767,0.334,133.929,0.172,0.0267,0,4,0.748,11,222200,-7.806,0.519,0,"https://embed.spotify.com/?uri=spotify:track:1fLibtVj3MrNTwRZq5yUOs","1fLibtVj3MrNTwRZq5yUOs","https://api.spotify.com/v1/audio-analysis/1fLibtVj3MrNTwRZq5yUOs"
"6895",2004-10-02,"Let's Go (2004)","trick daddy","hip hop/rap",37,57,3,37,"20",0.767,0.334,133.929,0.172,0.0267,0,4,0.748,11,222200,-7.806,0.519,0,"https://embed.spotify.com/?uri=spotify:track:1fLibtVj3MrNTwRZq5yUOs","1fLibtVj3MrNTwRZq5yUOs","https://api.spotify.com/v1/audio-analysis/1fLibtVj3MrNTwRZq5yUOs"
"6896",2005-12-17,"Welcome 2 Detroit","trick-trick","pop",100,0,1,100,"New",0.779,0.656,91.168,0.299,0.14,0,4,0.583,11,285453,-4.59,0.63,1,"spotify:track:79t5idiRhbDB1oLaVcTVsD","79t5idiRhbDB1oLaVcTVsD","https://api.spotify.com/v1/audio-analysis/79t5idiRhbDB1oLaVcTVsD"
"6897",2002-08-31,"Addictive","truth hurts","pop",9,42,20,52,"-10",0.669,0.22,99.272,0.169,0.0994,0.000352,4,0.707,11,226147,-6.513,0.327,0,"https://embed.spotify.com/?uri=spotify:track:36jSIOSE72neBbKntCthqw","36jSIOSE72neBbKntCthqw","https://api.spotify.com/v1/audio-analysis/36jSIOSE72neBbKntCthqw"
"6898",2012-09-22,"Work Hard, Play Hard","wiz khalifa","hip hop/rap",17,41,20,42,"-1",0.675,0.262,139.977,0.0655,0.118,0.0000165,4,0.818,11,220714,-4.176,0.47,1,"https://embed.spotify.com/?uri=spotify:track:62csqLJbdvAKb38rYijV1R","62csqLJbdvAKb38rYijV1R","https://api.spotify.com/v1/audio-analysis/62csqLJbdvAKb38rYijV1R"
"6899",2012-04-14,"I Do","young jeezy","hip hop/rap",61,98,15,96,"2",0.826,0.0962,73.252,0.353,0.129,0,4,0.562,11,311640,-7.598,0.604,1,"https://embed.spotify.com/?uri=spotify:track:7kbgzSYR7X9FkzIeUFkviQ","7kbgzSYR7X9FkzIeUFkviQ","https://api.spotify.com/v1/audio-analysis/7kbgzSYR7X9FkzIeUFkviQ"
"6900",2013-05-25,"R.I.P.","young jeezy","hip hop/rap",58,92,14,99,"-7",0.489,0.111,96.99,0.263,0.0215,0,4,0.825,11,199973,-9.32,0.438,1,"https://embed.spotify.com/?uri=spotify:track:2JJ5h2I1S0UR4tyD0U1I7K","2JJ5h2I1S0UR4tyD0U1I7K","https://api.spotify.com/v1/audio-analysis/2JJ5h2I1S0UR4tyD0U1I7K"
"6901",2001-04-07,"Kryptonite","3 doors down","pop",3,42,53,49,"-7",0.86,0.165,99.031,0.0306,0.00624,0.0000218,4,0.545,11,233827,-5.054,0.581,0,"spotify:track:6ZOBP3NvffbU4SZcrnt1k6","6ZOBP3NvffbU4SZcrnt1k6","https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6"
"6902",2018-06-21,"Plug Walk","Rich The Kid","hip hop/rap",13,35,18,33,"2",0.587,0.118,94.978,0.262,0.15,0,4,0.923,11,276659,-6.401,0.27,1,"spotify:track:1vnsGFNWNANWMg0CAeMkl2","1vnsGFNWNANWMg0CAeMkl2","https://api.spotify.com/v1/audio-analysis/1vnsGFNWNANWMg0CAeMkl2"
"6903",2018-05-12,"Changes","XXXTENTACION","hip hop/rap",37,83,9,96,"-13",0.308,0.0984,64.934,0.029,0.883,0,4,0.669,11,121887,-10.068,0.52,1,"spotify:track:7AFASza1mXqntmGtbxXprO","7AFASza1mXqntmGtbxXprO","https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO"
"6904",2018-03-31,"Numb","XXXTENTACION","hip hop/rap",82,0,1,82,"New",0.416,0.131,159.91,0.0251,0.1,0.179,4,0.414,11,186268,-8.024,0.196,0,"spotify:track:01TnVDiet1DFTsyWKUKovl","01TnVDiet1DFTsyWKUKovl","https://api.spotify.com/v1/audio-analysis/01TnVDiet1DFTsyWKUKovl"
"6905",2010-07-24,"Whataya Want From Me","adam lambert","pop",10,45,30,49,"-4",0.683,0.0593,185.948,0.0489,0.00706,0,4,0.44,11,227320,-4.732,0.445,0,"https://embed.spotify.com/?uri=spotify:track:2rDwdvBma1O1eLzo29p2cr","2rDwdvBma1O1eLzo29p2cr","https://api.spotify.com/v1/audio-analysis/2rDwdvBma1O1eLzo29p2cr"
"6906",2002-07-27,"Drive (For Daddy Gene)","alan jackson","country",28,53,20,55,"-2",0.61,0.102,125.189,0.0434,0.317,0,4,0.709,11,242067,-7.206,0.475,1,"https://embed.spotify.com/?uri=spotify:track:3xzoXqypESowMIDPX760Ds","3xzoXqypESowMIDPX760Ds","https://api.spotify.com/v1/audio-analysis/3xzoXqypESowMIDPX760Ds"
"6907",2002-01-05,"Where I Come From","alan jackson","country",34,83,20,94,"-11",0.631,0.193,124.711,0.0334,0.22,0,4,0.726,11,239240,-8.136,0.746,0,"spotify:track:6ej1QJ8eIYmhsyTlvgDajy","6ej1QJ8eIYmhsyTlvgDajy","https://api.spotify.com/v1/audio-analysis/6ej1QJ8eIYmhsyTlvgDajy"
"6908",2002-12-28,"Work In Progress","alan jackson","country",35,94,19,97,"-3",0.673,0.212,135.257,0.0486,0.191,0.00000586,4,0.748,11,247600,-8.45,0.661,0,"https://embed.spotify.com/?uri=spotify:track:1CSdY0W7Ezx2loItcUFskp","1CSdY0W7Ezx2loItcUFskp","https://api.spotify.com/v1/audio-analysis/1CSdY0W7Ezx2loItcUFskp"
"6909",2006-11-04,"Like Red On A Rose","alan jackson","country",80,89,5,90,"-1",0.315,0.0825,96.684,0.0282,0.634,0.191,3,0.598,11,213307,-9.83,0.172,1,"https://embed.spotify.com/?uri=spotify:track:1ayFArNqsYgGT8gWWSscTD","1ayFArNqsYgGT8gWWSscTD","https://api.spotify.com/v1/audio-analysis/1ayFArNqsYgGT8gWWSscTD"
"6910",2012-06-23,"Fine By Me","andy grammer","pop",84,89,10,95,"-6",0.801,0.0443,89.998,0.0326,0.00975,0,4,0.603,11,172813,-4.095,0.863,1,"https://embed.spotify.com/?uri=spotify:track:7tg0OrYieTMcQmxIczNMqE","7tg0OrYieTMcQmxIczNMqE","https://api.spotify.com/v1/audio-analysis/7tg0OrYieTMcQmxIczNMqE"
"6911",2002-06-29,"Roc The Mic","beanie sigel","hip hop/rap",55,96,19,97,"-1",0.656,0.116,95.291,0.413,0.0979,0,4,0.728,11,261400,-5.493,0.923,0,"spotify:track:7ljzDeWWD7cBC6EGyh69An","7ljzDeWWD7cBC6EGyh69An","https://api.spotify.com/v1/audio-analysis/7ljzDeWWD7cBC6EGyh69An"
"6912",2009-08-08,"Too Many Rappers","beastie boys","hip hop/rap",93,0,1,93,"New",0.873,0.512,93.797,0.178,0.0055,0.00000146,4,0.652,11,291800,-4.388,0.503,0,"https://embed.spotify.com/?uri=spotify:track:4glAkXaI3bMjXppg8WYntJ","4glAkXaI3bMjXppg8WYntJ","https://api.spotify.com/v1/audio-analysis/4glAkXaI3bMjXppg8WYntJ"
