date,title,artist,genre,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_sec,duration_min,loudness,valence,mode,spotify_id,spotify_link,analysis_url
10/16/10,Bill Gates,lil wayne,"[u'hip hop', u'pop', u'pop rap', u'rap', u'trap music']",75,0,1,75,New,0.805,0.123,136.079,0.104,0.263,1.47E-05,4,0.831,7,258.787,4.313116667,-5.37,0.741,1,610FzmkhFSsORpECZbjT4X,https://embed.spotify.com/?uri=spotify:track:610FzmkhFSsORpECZbjT4X,https://api.spotify.com/v1/audio-analysis/610FzmkhFSsORpECZbjT4X
10/16/10,Na Na Na (Na Na Na Na Na Na Na Na Na),my chemical romance,"[u'emo', u'modern rock', u'pop punk', u'screamo']",77,0,1,77,New,0.977,0.369,165.986,0.0468,0.000255,0.00345,4,0.409,8,203.427,3.39045,-2.64,0.725,0,5FbMKftNTXCKiBYSf0TQrs,https://embed.spotify.com/?uri=spotify:track:5FbMKftNTXCKiBYSf0TQrs,https://api.spotify.com/v1/audio-analysis/5FbMKftNTXCKiBYSf0TQrs
10/16/10,Hope She Cheats On You (With A Basketball Player),marsha ambrosius,"[u'deep pop r&b', u'hip pop', u'indie r&b', u'neo soul', u'new jack swing', u'quiet storm', u'r&b', u'urban contemporary']",88,0,1,88,New,0.668,0.208,164.285,0.412,0.0603,0,4,0.489,6,246.12,4.102,-7.362,0.389,0,6eyd3UdMl5wek5jG8nHOqm,https://embed.spotify.com/?uri=spotify:track:6eyd3UdMl5wek5jG8nHOqm,https://api.spotify.com/v1/audio-analysis/6eyd3UdMl5wek5jG8nHOqm
10/9/10,Breakeven,the script,"[u'boy band', u'celtic rock', u'neo mellow', u'pop', u'pop rock', u'post-teen pop']",12,50,43,50,0,0.696,0.0835,94.034,0.0242,0.144,0,4,0.63,10,261.427,4.357116667,-4.501,0.491,1,1fyysXwSGNtMeqMBLwW3SI,https://embed.spotify.com/?uri=spotify:track:1fyysXwSGNtMeqMBLwW3SI,https://api.spotify.com/v1/audio-analysis/1fyysXwSGNtMeqMBLwW3SI
10/9/10,Find Your Love,drake,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",5,34,21,47,-13,0.621,0.0313,96.033,0.19,0.025,0,4,0.622,6,208.947,3.48245,-5.951,0.774,0,1pUadC0MZD2Ms3cBDQ5vZf,https://embed.spotify.com/?uri=spotify:track:1pUadC0MZD2Ms3cBDQ5vZf,https://api.spotify.com/v1/audio-analysis/1pUadC0MZD2Ms3cBDQ5vZf
10/9/10,Free,zac brown band,"[u'contemporary country', u'country', u'country road', u'modern country rock']",34,77,19,83,-6,0.412,0.101,75.752,0.0276,0.24,0.00021,4,0.453,1,228.653,3.810883333,-7.539,0.282,1,4bWlAEbGHhPKQNjhTstN2p,https://embed.spotify.com/?uri=spotify:track:4bWlAEbGHhPKQNjhTstN2p,https://api.spotify.com/v1/audio-analysis/4bWlAEbGHhPKQNjhTstN2p
10/9/10,Round & Round,selena gomez,"[u'dance pop', u'pop', u'post-teen pop']",24,86,14,86,0,0.717,0.496,127.883,0.0689,0.003,0,4,0.514,9,186.173,3.102883333,-4.074,0.553,0,0fU6eA0OOsGRUA9S0hHmLO,https://embed.spotify.com/?uri=spotify:track:0fU6eA0OOsGRUA9S0hHmLO,https://api.spotify.com/v1/audio-analysis/0fU6eA0OOsGRUA9S0hHmLO
10/9/10,Bittersweet,fantasia,"[u'dance pop', u'deep pop r&b', u'hip pop', u'indie r&b', u'neo soul', u'new jack swing', u'quiet storm', u'r&b', u'urban contemporary']",74,84,12,93,-9,0.81,0.0433,129.972,0.0755,0.0266,2.40E-05,4,0.74,8,236.64,3.944,-5.231,0.436,1,7lDO0HIPCt63UJj5b20Dft,https://embed.spotify.com/?uri=spotify:track:7lDO0HIPCt63UJj5b20Dft,https://api.spotify.com/v1/audio-analysis/7lDO0HIPCt63UJj5b20Dft
10/9/10,Break My Bank,new boyz,"[u'dance pop', u'pop rap', u'southern hip hop']",68,79,11,87,-8,0.738,0.0946,90.997,0.0605,0.0197,0,4,0.729,5,177.173,2.952883333,-4.755,0.421,0,2yBnsyXPpfE3dKZ5xtqC1y,https://embed.spotify.com/?uri=spotify:track:2yBnsyXPpfE3dKZ5xtqC1y,https://api.spotify.com/v1/audio-analysis/2yBnsyXPpfE3dKZ5xtqC1y
10/9/10,Erase Me,kid cudi,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop']",22,78,5,97,-19,0.642,0.116,186.037,0.152,0.0693,0,4,0.682,9,192.253,3.204216667,-5.643,0.857,1,6XkuklKiHYVTlVvWlTgQYP,https://embed.spotify.com/?uri=spotify:track:6XkuklKiHYVTlVvWlTgQYP,https://api.spotify.com/v1/audio-analysis/6XkuklKiHYVTlVvWlTgQYP
10/9/10,Telephone,glee cast,"[u'dance pop', u'hollywood', u'pop', u'post-teen pop']",23,0,1,23,New,0.805,0.11,122.021,0.0329,0.00363,3.08E-06,4,0.729,5,222.96,3.716,-5.183,0.749,0,4W2GicHr49W6pjCPfKf8ih,https://embed.spotify.com/?uri=spotify:track:4W2GicHr49W6pjCPfKf8ih,https://api.spotify.com/v1/audio-analysis/4W2GicHr49W6pjCPfKf8ih
10/9/10,Billionaire,glee cast,"[u'dance pop', u'hollywood', u'pop', u'post-teen pop']",28,0,1,28,New,0.721,0.104,87.034,0.0939,0.259,0,4,0.791,6,211.44,3.524,-5.588,0.66,0,6d5CfH0P84foEd1fkmp7po,https://embed.spotify.com/?uri=spotify:track:6d5CfH0P84foEd1fkmp7po,https://api.spotify.com/v1/audio-analysis/6d5CfH0P84foEd1fkmp7po
10/9/10,Listen,glee cast,"[u'dance pop', u'hollywood', u'pop', u'post-teen pop']",38,0,1,38,New,0.644,0.111,122.694,0.0491,0.174,0,4,0.517,11,219.253,3.654216667,-5.366,0.195,1,68GZZPYc0IYcOWgKPnc63S,https://embed.spotify.com/?uri=spotify:track:68GZZPYc0IYcOWgKPnc63S,https://api.spotify.com/v1/audio-analysis/68GZZPYc0IYcOWgKPnc63S
10/9/10,What I Did For Love,glee cast,"[u'dance pop', u'hollywood', u'pop', u'post-teen pop']",51,0,1,51,New,0.404,0.304,76.084,0.033,0.462,3.61E-06,4,0.281,8,222.373,3.706216667,-7.52,0.0859,1,3mpXZcuekTsQVBYIt4vu1T,https://embed.spotify.com/?uri=spotify:track:3mpXZcuekTsQVBYIt4vu1T,https://api.spotify.com/v1/audio-analysis/3mpXZcuekTsQVBYIt4vu1T
10/9/10,Stutter,maroon 5,[u'pop'],84,0,1,84,New,0.885,0.105,119.971,0.0349,0.0174,0,4,0.698,1,196.92,3.282,-2.743,0.836,0,7zmJyZL3DfYBBYbY8Rve6W,https://embed.spotify.com/?uri=spotify:track:7zmJyZL3DfYBBYbY8Rve6W,https://api.spotify.com/v1/audio-analysis/7zmJyZL3DfYBBYbY8Rve6W
10/2/10,Love Like Crazy,lee brice,"[u'contemporary country', u'country', u'country road', u'modern country rock']",45,54,20,69,-15,0.725,0.176,78.489,0.0275,0.0203,1.45E-05,4,0.535,10,217.387,3.623116667,-5.108,0.292,1,6Ozp6ac86CSHMik8lbvJuM,https://embed.spotify.com/?uri=spotify:track:6Ozp6ac86CSHMik8lbvJuM,https://api.spotify.com/v1/audio-analysis/6Ozp6ac86CSHMik8lbvJuM
10/2/10,Somebody To Love,justin bieber,"[u'canadian pop', u'dance pop', u'pop', u'post-teen pop']",71,0,18,90,Re-Entry,0.809,0.227,129.966,0.0267,0.00346,0,4,0.714,5,220.92,3.682,-5.138,0.588,1,3rLIv187BhjyweFe89SgLn,spotify:track:3rLIv187BhjyweFe89SgLn,https://api.spotify.com/v1/audio-analysis/3rLIv187BhjyweFe89SgLn
10/2/10,Glitter In The Air,pink,"[u'dance pop', u'pop', u'post-teen pop', u'r&b']",18,86,18,93,-7,0.251,0.1,100.036,0.0276,0.9,0.000234,4,0.542,5,227.013,3.78355,-12.054,0.269,1,54oAT2kAmUkmIpKe445pn1,https://embed.spotify.com/?uri=spotify:track:54oAT2kAmUkmIpKe445pn1,https://api.spotify.com/v1/audio-analysis/54oAT2kAmUkmIpKe445pn1
10/2/10,Hold You (Hold Yuh),gyptian,[u'dancehall'],77,0,15,92,Re-Entry,0.493,0.102,67.262,0.0748,0.162,2.01E-05,3,0.695,8,232.947,3.88245,-6.582,0.367,1,2SAzkJDEo9Qs2jLUwpjP4h,https://embed.spotify.com/?uri=spotify:track:2SAzkJDEo9Qs2jLUwpjP4h,https://api.spotify.com/v1/audio-analysis/2SAzkJDEo9Qs2jLUwpjP4h
10/2/10,Trailerhood,toby keith,"[u'contemporary country', u'country', u'country road']",97,98,4,99,-1,0.821,0.295,98.001,0.0356,0.229,0,4,0.663,7,173.693,2.894883333,-4.557,0.849,1,0ZVfBwPs1X2qYt2TC0EniU,https://embed.spotify.com/?uri=spotify:track:0ZVfBwPs1X2qYt2TC0EniU,https://api.spotify.com/v1/audio-analysis/0ZVfBwPs1X2qYt2TC0EniU
9/25/10,Break Your Heart,taio cruz,"[u'dance pop', u'edm', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'urban contemporary']",1,42,29,48,-6,0.892,0.115,122.025,0.0287,0.00232,0,4,0.663,8,186.267,3.10445,-4.759,0.625,1,1CdqVF1ywD0ZO1zXtB9yWa,https://embed.spotify.com/?uri=spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,https://api.spotify.com/v1/audio-analysis/1CdqVF1ywD0ZO1zXtB9yWa
9/25/10,Undo It,carrie underwood,"[u'contemporary country', u'country', u'country dawn', u'dance pop', u'pop', u'post-teen pop']",23,59,20,67,-8,0.84,0.046,156.254,0.058,0.11,0,4,0.476,2,177.253,2.954216667,-2.259,0.648,1,7mrxvbw9psnpDcQ8WkkFBZ,https://embed.spotify.com/?uri=spotify:track:7mrxvbw9psnpDcQ8WkkFBZ,https://api.spotify.com/v1/audio-analysis/7mrxvbw9psnpDcQ8WkkFBZ
9/25/10,"Lover, Lover",jerrod niemann,"[u'contemporary country', u'country', u'country road', u'lift kit', u'modern country rock']",29,73,20,81,-8,0.567,0.622,112.472,0.0586,0.184,0,4,0.879,7,193.733,3.228883333,-6.509,0.948,1,5UzU0qw21okODBNUnxptVo,https://embed.spotify.com/?uri=spotify:track:5UzU0qw21okODBNUnxptVo,https://api.spotify.com/v1/audio-analysis/5UzU0qw21okODBNUnxptVo
9/25/10,Gettin' Over You,david guetta,"[u'dance pop', u'edm', u'pop', u'tropical house']",31,76,20,88,-12,0.918,0.0813,130.106,0.0835,0.154,0,4,0.611,10,188.013,3.13355,-5.02,0.459,0,1UocR7OSxTPN5vBgIa2fFX,https://embed.spotify.com/?uri=spotify:track:1UocR7OSxTPN5vBgIa2fFX,https://api.spotify.com/v1/audio-analysis/1UocR7OSxTPN5vBgIa2fFX
9/25/10,I'm In,keith urban,"[u'australian country', u'contemporary country', u'country', u'country road']",60,69,16,87,-18,0.862,0.0973,129.98,0.0452,0.0382,0.000162,4,0.567,5,273.52,4.558666667,-5.887,0.661,1,0sAZEGLK6OU4VAWC9puWgh,spotify:track:0sAZEGLK6OU4VAWC9puWgh,https://api.spotify.com/v1/audio-analysis/0sAZEGLK6OU4VAWC9puWgh
9/25/10,This Ain't Nothin',craig morgan,"[u'contemporary country', u'country', u'country road', u'modern country rock', u'redneck']",83,83,13,90,-7,0.532,0.124,149.71,0.0306,0.153,0,4,0.353,6,242.227,4.037116667,-5.318,0.282,1,3GfFnxBuDNay7D1srwrqZU,https://embed.spotify.com/?uri=spotify:track:3GfFnxBuDNay7D1srwrqZU,https://api.spotify.com/v1/audio-analysis/3GfFnxBuDNay7D1srwrqZU
9/25/10,Champagne Life,ne-yo,"[u'dance pop', u'hip pop', u'neo soul', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'rap', u'urban contemporary']",75,90,8,100,-10,0.734,0.39,193.01,0.155,0.165,0,3,0.614,7,323.933,5.398883333,-4.095,0.598,1,7p8l7HiPoz90dg423iURKW,https://embed.spotify.com/?uri=spotify:track:7p8l7HiPoz90dg423iURKW,https://api.spotify.com/v1/audio-analysis/7p8l7HiPoz90dg423iURKW
9/25/10,The Man Who Can't Be Moved,the script,"[u'boy band', u'celtic rock', u'neo mellow', u'pop', u'pop rock', u'post-teen pop']",86,91,6,95,-4,0.629,0.0978,99.955,0.0264,0.425,0,4,0.609,10,241.467,4.02445,-5.024,0.325,1,4Musyaro0NM5Awx8b5c627,https://embed.spotify.com/?uri=spotify:track:4Musyaro0NM5Awx8b5c627,https://api.spotify.com/v1/audio-analysis/4Musyaro0NM5Awx8b5c627
9/25/10,Rockstar 101,rihanna,"[u'dance pop', u'pop', u'r&b', u'urban contemporary']",64,0,5,89,Re-Entry,0.641,0.641,139.562,0.105,0.0257,0,4,0.399,6,238.893,3.98155,-4.636,0.334,1,5rXDTihGQ3TkYE3pmraAmH,https://embed.spotify.com/?uri=spotify:track:5rXDTihGQ3TkYE3pmraAmH,https://api.spotify.com/v1/audio-analysis/5rXDTihGQ3TkYE3pmraAmH
9/25/10,Dumb Love,sean kingston,"[u'dance pop', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'urban contemporary']",84,0,1,84,New,0.646,0.473,128.031,0.0724,0.356,0,4,0.758,0,186.773,3.112883333,-3.662,0.876,1,10QJkBWQJXPr3TYaPuH6gR,https://embed.spotify.com/?uri=spotify:track:10QJkBWQJXPr3TYaPuH6gR,https://api.spotify.com/v1/audio-analysis/10QJkBWQJXPr3TYaPuH6gR
9/25/10,Introducing Me,nick jonas,"[u'dance pop', u'pop', u'post-teen pop', u'viral pop']",92,0,1,92,New,0.518,0.117,113.008,0.0691,0.499,0,4,0.514,11,186.893,3.114883333,-5.883,0.616,1,74tQaH4CxM5Rs9BzerEbHr,https://embed.spotify.com/?uri=spotify:track:74tQaH4CxM5Rs9BzerEbHr,https://api.spotify.com/v1/audio-analysis/74tQaH4CxM5Rs9BzerEbHr
9/18/10,Bulletproof,la roux,"[u'alternative dance', u'indietronica', u'new rave', u'synthpop']",8,45,27,45,0,0.898,0.0721,122.985,0.052,0.000698,4.61E-05,4,0.686,3,205.733,3.428883333,-2.72,0.696,0,6lUY6MoqGgPnA27PHYxem5,https://embed.spotify.com/?uri=spotify:track:6lUY6MoqGgPnA27PHYxem5,https://api.spotify.com/v1/audio-analysis/6lUY6MoqGgPnA27PHYxem5
